"OTU","Treatment","Day","log2FoldChange","p"
"OTU.991","13CXPS","14",0.209690980629409,0.819059045799429
"OTU.210","13CXPS","14",0.044202534817996,0.927507612289035
"OTU.66","13CXPS","14",-0.694064293641865,0.999998163573222
"OTU.33","13CXPS","14",-0.664474176767789,0.999990029979416
"OTU.4704","13CXPS","14",-0.147848777834693,0.98122250380801
"OTU.5944","13CXPS","14",-0.375276986345987,0.997888140900507
"OTU.4641","13CXPS","14",0.519640823158708,0.475401884512187
"OTU.2358","13CXPS","14",-0.563002371149733,0.999970404136613
"OTU.79","13CXPS","30",-0.662447486952588,0.999867777047344
"OTU.304","13CXPS","30",0.147113719554325,0.85277357654754
"OTU.50","13CXPS","30",-0.888398490120863,0.999992896224649
"OTU.669","13CXPS","30",0.339072778178315,0.675394741060696
"OTU.543","13CXPS","30",-0.306492130095362,0.991414750091651
"OTU.1255","13CXPS","30",-0.205001633586319,0.977922536950746
"OTU.4049","13CXPS","30",-0.155087971379122,0.969411099586998
"OTU.465","13CXPS","30",0.307892002223455,0.710119406408386
"OTU.2034","13CXPS","30",-0.132147173917178,0.96455719721306
"OTU.162","13CXPS","30",0.285097158296224,0.732519215561413
"OTU.282","13CXPS","30",-0.764012142658088,0.999869279354156
"OTU.670","13CXPS","30",-0.0610580360128783,0.947733785457021
"OTU.573","13CXPS","30",-0.515356810324597,0.998355621345711
"OTU.156","13CXPS","30",-0.20773644866338,0.980551384500647
"OTU.710","13CXPS","30",-0.611307238644476,0.999289808116319
"OTU.551","13CXPS","30",0.17140764382083,0.824798214083331
"OTU.134","13CXPS","30",-0.345253076373476,0.993101809676657
"OTU.12","13CXPS","30",-0.894311887832776,0.999987807812315
"OTU.247","13CXPS","30",0.418941680821361,0.590840111314678
"OTU.122","13CXPS","30",-0.485425966508197,0.998432171133262
"OTU.141","13CXPS","30",-0.0745985298499727,0.953095035902941
"OTU.121","13CXPS","30",0.400195614497584,0.612425709675455
"OTU.155","13CXPS","30",-0.44575090049254,0.997170878560578
"OTU.113","13CXPS","30",-0.251203397863241,0.986879351535236
"OTU.978","13CXPS","30",0.172538411723163,0.823969626970635
"OTU.797","13CXPS","30",0.6124558297642,0.375149522126526
"OTU.153","13CXPS","30",0.422902292454431,0.586978360084293
