OTU,shift,Day,Treatment
OTU.2680,,30,13CCSS
OTU.2681,,30,13CCSS
OTU.2682,,30,13CCSS
OTU.2683,-0.015394377616155142,30,13CCSS
OTU.916,-0.0013152419501532009,30,13CCSS
OTU.1089,0.006338918596059839,30,13CCSS
OTU.1088,-0.011693819029505503,30,13CCSS
OTU.1087,-0.011958243828417814,30,13CCSS
OTU.1086,0.016845868044927714,30,13CCSS
OTU.1085,-0.009859689119507742,30,13CCSS
OTU.1084,0.02125008690378305,30,13CCSS
OTU.1083,,30,13CCSS
OTU.1082,-0.007129644213135222,30,13CCSS
OTU.1081,0.030701158797555417,30,13CCSS
OTU.1080,-0.01030811402935905,30,13CCSS
OTU.3812,-0.026656733267223842,30,13CCSS
OTU.3813,,30,13CCSS
OTU.3810,0.014406856305569926,30,13CCSS
OTU.3811,0.00014995782887416986,30,13CCSS
OTU.3816,0.029084411920506703,30,13CCSS
OTU.3817,-0.0064643806769233425,30,13CCSS
OTU.3814,,30,13CCSS
OTU.3815,,30,13CCSS
OTU.3818,0.001916755692676686,30,13CCSS
OTU.3819,0.029141159552005913,30,13CCSS
OTU.6176,,30,13CCSS
OTU.6177,,30,13CCSS
OTU.6174,0.027801904174126202,30,13CCSS
OTU.6175,,30,13CCSS
OTU.6172,,30,13CCSS
OTU.6173,,30,13CCSS
OTU.6170,,30,13CCSS
OTU.6171,0.0016574192082292605,30,13CCSS
OTU.5748,0.0008653341069047027,30,13CCSS
OTU.5749,0.012360124673288508,30,13CCSS
OTU.5740,,30,13CCSS
OTU.5741,,30,13CCSS
OTU.5742,0.0,30,13CCSS
OTU.5743,,30,13CCSS
OTU.5744,,30,13CCSS
OTU.5745,0.009764471829866617,30,13CCSS
OTU.5746,,30,13CCSS
OTU.5747,0.04005146812687821,30,13CCSS
OTU.2453,,30,13CCSS
OTU.6179,,30,13CCSS
OTU.2452,,30,13CCSS
OTU.4259,,30,13CCSS
OTU.4258,,30,13CCSS
OTU.862,0.025221823681485622,30,13CCSS
OTU.5339,,30,13CCSS
OTU.5338,-0.00442634980160217,30,13CCSS
OTU.4250,,30,13CCSS
OTU.5331,,30,13CCSS
OTU.5330,,30,13CCSS
OTU.5333,,30,13CCSS
OTU.5332,,30,13CCSS
OTU.5335,,30,13CCSS
OTU.4253,,30,13CCSS
OTU.5337,-0.018174823338019896,30,13CCSS
OTU.5336,,30,13CCSS
OTU.1744,-0.0067457139603588345,30,13CCSS
OTU.4252,,30,13CCSS
OTU.1745,0.006787508211197224,30,13CCSS
OTU.4255,,30,13CCSS
OTU.1746,-0.01471013826807921,30,13CCSS
OTU.4254,,30,13CCSS
OTU.1747,0.012230541521009552,30,13CCSS
OTU.4257,,30,13CCSS
OTU.1740,0.04486458561151485,30,13CCSS
OTU.4256,,30,13CCSS
OTU.1741,-0.01145099113046455,30,13CCSS
OTU.5872,,30,13CCSS
OTU.1742,0.007672743794104209,30,13CCSS
OTU.5873,,30,13CCSS
OTU.4991,-0.02033282563448724,30,13CCSS
OTU.5870,,30,13CCSS
OTU.5871,,30,13CCSS
OTU.5876,0.040869471381462574,30,13CCSS
OTU.5877,,30,13CCSS
OTU.5874,-0.005708167349308679,30,13CCSS
OTU.5307,,30,13CCSS
OTU.2433,-0.013013922936511158,30,13CCSS
OTU.2275,-0.04254925655703268,30,13CCSS
OTU.2274,0.015925463314228283,30,13CCSS
OTU.5557,,30,13CCSS
OTU.2432,0.03189195293358038,30,13CCSS
OTU.5556,,30,13CCSS
OTU.5551,,30,13CCSS
OTU.2270,-0.031070799421765605,30,13CCSS
OTU.1508,-0.001247620609420963,30,13CCSS
OTU.1509,,30,13CCSS
OTU.2273,-0.018356370009174006,30,13CCSS
OTU.1502,0.03997119139315353,30,13CCSS
OTU.1503,-0.007530970567799944,30,13CCSS
OTU.1500,,30,13CCSS
OTU.1501,,30,13CCSS
OTU.1506,0.013288062995792327,30,13CCSS
OTU.1507,-0.030555029815900303,30,13CCSS
OTU.1504,8.854878819630763e-05,30,13CCSS
OTU.1505,-0.0022925654697800724,30,13CCSS
OTU.6152,,30,13CCSS
OTU.3562,-0.0162884940472372,30,13CCSS
OTU.3563,,30,13CCSS
