OTU,shift,Day,Treatment
OTU.3207,,30,13CCPS
OTU.3206,,30,13CCPS
OTU.3205,,30,13CCPS
OTU.3204,,30,13CCPS
OTU.3203,-0.007883968,30,13CCPS
OTU.3202,,30,13CCPS
OTU.3201,,30,13CCPS
OTU.3200,,30,13CCPS
OTU.2002,0.027818377,30,13CCPS
OTU.2003,,30,13CCPS
OTU.2000,,30,13CCPS
OTU.2001,,30,13CCPS
OTU.2006,,30,13CCPS
OTU.2007,-0.004990617,30,13CCPS
OTU.2004,,30,13CCPS
OTU.2005,,30,13CCPS
OTU.2558,-0.046576443,30,13CCPS
OTU.2559,,30,13CCPS
OTU.2008,0.002824548,30,13CCPS
OTU.2009,,30,13CCPS
OTU.292,-0.006414026,30,13CCPS
OTU.293,0.003536745,30,13CCPS
OTU.290,-0.02780537,30,13CCPS
OTU.291,-0.012022992,30,13CCPS
OTU.4455,,30,13CCPS
OTU.1134,0.01570234,30,13CCPS
OTU.748,-0.019900332,30,13CCPS
OTU.749,0.009405794,30,13CCPS
OTU.740,0.015911501,30,13CCPS
OTU.741,0.008193943,30,13CCPS
OTU.742,0.002021331,30,13CCPS
OTU.743,0.008907333,30,13CCPS
OTU.744,,30,13CCPS
OTU.745,-0.01509989,30,13CCPS
OTU.746,-0.00567271,30,13CCPS
OTU.747,0.013613399,30,13CCPS
OTU.1446,0.005159845,30,13CCPS
OTU.5517,,30,13CCPS
OTU.3838,0.013350049,30,13CCPS
OTU.3839,,30,13CCPS
OTU.3834,,30,13CCPS
OTU.3835,,30,13CCPS
OTU.3836,,30,13CCPS
OTU.3837,,30,13CCPS
OTU.3830,,30,13CCPS
OTU.3831,,30,13CCPS
OTU.3832,,30,13CCPS
OTU.3833,,30,13CCPS
OTU.6027,,30,13CCPS
OTU.1253,0.007648731,30,13CCPS
OTU.5432,,30,13CCPS
OTU.2353,,30,13CCPS
OTU.2350,-0.008115677,30,13CCPS
OTU.2351,,30,13CCPS
OTU.2424,,30,13CCPS
OTU.2425,0.011372941,30,13CCPS
OTU.5313,,30,13CCPS
OTU.5312,,30,13CCPS
OTU.5311,,30,13CCPS
OTU.5866,,30,13CCPS
OTU.5317,,30,13CCPS
OTU.2426,,30,13CCPS
OTU.5315,,30,13CCPS
OTU.5314,0.019286796,30,13CCPS
OTU.5319,,30,13CCPS
OTU.149,-0.002120901,30,13CCPS
OTU.5869,,30,13CCPS
OTU.5868,,30,13CCPS
OTU.3844,,30,13CCPS
OTU.146,-0.008164084,30,13CCPS
OTU.147,0.004784317,30,13CCPS
OTU.4811,,30,13CCPS
OTU.5439,,30,13CCPS
OTU.142,-0.004130934,30,13CCPS
OTU.143,-0.005232966,30,13CCPS
OTU.140,-0.007860244,30,13CCPS
OTU.141,0.005259033,30,13CCPS
OTU.5934,,30,13CCPS
OTU.1524,0.028702967,30,13CCPS
OTU.1525,,30,13CCPS
OTU.1526,-0.0075229,30,13CCPS
OTU.1527,,30,13CCPS
OTU.1520,0.005595742,30,13CCPS
OTU.1521,-0.001966761,30,13CCPS
OTU.1522,-0.011838667,30,13CCPS
OTU.1523,,30,13CCPS
OTU.1528,,30,13CCPS
OTU.1529,0.00598663,30,13CCPS
OTU.3018,,30,13CCPS
OTU.3019,,30,13CCPS
OTU.3548,,30,13CCPS
OTU.3549,,30,13CCPS
OTU.3012,,30,13CCPS
OTU.3013,,30,13CCPS
OTU.3546,,30,13CCPS
OTU.3547,,30,13CCPS
OTU.3540,0.008180139,30,13CCPS
OTU.3541,,30,13CCPS
OTU.3014,,30,13CCPS
OTU.3015,,30,13CCPS
OTU.199,-0.006713961,30,13CCPS
OTU.198,0.000856999,30,13CCPS
OTU.195,-0.007576133,30,13CCPS
OTU.194,0.002037274,30,13CCPS
OTU.197,0.008600921,30,13CCPS
OTU.196,0.000480774,30,13CCPS
OTU.191,-0.010868817,30,13CCPS
OTU.190,-0.013249247,30,13CCPS
OTU.193,-0.001080558,30,13CCPS
OTU.192,0.001533417,30,13CCPS
OTU.2923,,30,13CCPS
OTU.995,-0.006124585,30,13CCPS
OTU.994,-0.004465308,30,13CCPS
OTU.997,-0.010218117,30,13CCPS
OTU.996,-0.026877148,30,13CCPS
OTU.991,0.002778264,30,13CCPS
OTU.990,-0.008474909,30,13CCPS
OTU.993,0.004812163,30,13CCPS
OTU.992,-0.020486416,30,13CCPS
OTU.999,0.001402029,30,13CCPS
OTU.998,0.003519737,30,13CCPS
OTU.915,0.026664445,30,13CCPS
OTU.914,-0.025635351,30,13CCPS
OTU.2769,0.010317551,30,13CCPS
OTU.2768,0.00605895,30,13CCPS
OTU.2763,,30,13CCPS
OTU.2762,-0.032938348,30,13CCPS
OTU.2761,,30,13CCPS
OTU.2760,,30,13CCPS
OTU.2767,0.000743176,30,13CCPS
OTU.2766,0.031829988,30,13CCPS
OTU.2765,0.01275992,30,13CCPS
OTU.2764,,30,13CCPS
OTU.917,,30,13CCPS
OTU.1942,0.00280918,30,13CCPS
OTU.1943,,30,13CCPS
OTU.1940,-0.010608482,30,13CCPS
OTU.1941,,30,13CCPS
OTU.1946,,30,13CCPS
OTU.1947,-0.003232665,30,13CCPS
OTU.1944,,30,13CCPS
OTU.1945,,30,13CCPS
OTU.1948,-0.001727083,30,13CCPS
OTU.1949,,30,13CCPS
OTU.2927,,30,13CCPS
OTU.6031,,30,13CCPS
OTU.5083,,30,13CCPS
OTU.5082,,30,13CCPS
OTU.5081,,30,13CCPS
OTU.5080,,30,13CCPS
OTU.5087,,30,13CCPS
OTU.5086,,30,13CCPS
OTU.5085,0.011009228,30,13CCPS
OTU.5084,,30,13CCPS
OTU.5089,,30,13CCPS
OTU.5088,0.002471812,30,13CCPS
OTU.2926,,30,13CCPS
OTU.911,-0.006678761,30,13CCPS
OTU.6030,,30,13CCPS
OTU.6178,,30,13CCPS
OTU.910,-0.019744713,30,13CCPS
OTU.6037,,30,13CCPS
OTU.913,0.0122713,30,13CCPS
OTU.4688,,30,13CCPS
OTU.4689,,30,13CCPS
OTU.4686,,30,13CCPS
OTU.4687,,30,13CCPS
OTU.4684,,30,13CCPS
OTU.4685,,30,13CCPS
OTU.4682,,30,13CCPS
OTU.4683,,30,13CCPS
OTU.4680,,30,13CCPS
OTU.4681,,30,13CCPS
OTU.912,-0.001450552,30,13CCPS
OTU.6035,,30,13CCPS
OTU.815,-0.010720563,30,13CCPS
OTU.4354,,30,13CCPS
OTU.4355,,30,13CCPS
OTU.4356,,30,13CCPS
OTU.4357,,30,13CCPS
OTU.4350,,30,13CCPS
OTU.4351,,30,13CCPS
OTU.4352,,30,13CCPS
OTU.4353,,30,13CCPS
OTU.4358,,30,13CCPS
OTU.4359,,30,13CCPS
OTU.4239,,30,13CCPS
OTU.4238,,30,13CCPS
OTU.4237,,30,13CCPS
OTU.4236,,30,13CCPS
OTU.1315,0.007148347,30,13CCPS
OTU.1314,0.009146592,30,13CCPS
OTU.1313,0.000113212,30,13CCPS
OTU.4232,,30,13CCPS
OTU.4231,,30,13CCPS
OTU.4230,0.015241148,30,13CCPS
OTU.2998,,30,13CCPS
OTU.2999,,30,13CCPS
OTU.2990,,30,13CCPS
OTU.2991,,30,13CCPS
OTU.2992,,30,13CCPS
OTU.2993,,30,13CCPS
OTU.2994,,30,13CCPS
OTU.2995,,30,13CCPS
OTU.2996,-0.021652461,30,13CCPS
OTU.2997,,30,13CCPS
OTU.3225,,30,13CCPS
OTU.3224,,30,13CCPS
OTU.3227,,30,13CCPS
OTU.3226,,30,13CCPS
OTU.3221,,30,13CCPS
OTU.3220,,30,13CCPS
OTU.3223,0.011748631,30,13CCPS
OTU.3222,,30,13CCPS
OTU.3229,,30,13CCPS
OTU.3228,0.016849158,30,13CCPS
OTU.4901,,30,13CCPS
OTU.2577,0.01382057,30,13CCPS
OTU.2574,,30,13CCPS
OTU.4902,,30,13CCPS
OTU.4905,,30,13CCPS
OTU.4904,,30,13CCPS
OTU.2570,0.013040427,30,13CCPS
OTU.4906,,30,13CCPS
OTU.4909,,30,13CCPS
OTU.4908,,30,13CCPS
OTU.2578,,30,13CCPS
OTU.2579,,30,13CCPS
OTU.3481,,30,13CCPS
OTU.1991,,30,13CCPS
OTU.3483,,30,13CCPS
OTU.3482,,30,13CCPS
OTU.3485,,30,13CCPS
OTU.3484,-0.055362126,30,13CCPS
OTU.3487,,30,13CCPS
OTU.3486,,30,13CCPS
OTU.3489,0.005083724,30,13CCPS
OTU.3488,,30,13CCPS
OTU.1993,,30,13CCPS
OTU.506,0.001582333,30,13CCPS
OTU.507,0.010597435,30,13CCPS
OTU.504,0.023964617,30,13CCPS
OTU.1992,0.002525792,30,13CCPS
OTU.502,-0.020068246,30,13CCPS
OTU.503,0.001594412,30,13CCPS
OTU.500,-0.000111952,30,13CCPS
OTU.501,9.39E-05,30,13CCPS
OTU.1995,,30,13CCPS
OTU.508,-0.006392587,30,13CCPS
OTU.1994,0.026089146,30,13CCPS
OTU.4745,,30,13CCPS
OTU.1996,,30,13CCPS
OTU.1887,-0.009404269,30,13CCPS
OTU.1886,-0.0262545,30,13CCPS
OTU.1885,,30,13CCPS
OTU.1884,0.03281594,30,13CCPS
OTU.1883,,30,13CCPS
OTU.1882,-0.013706622,30,13CCPS
OTU.1881,,30,13CCPS
OTU.1880,,30,13CCPS
OTU.5610,0.003105662,30,13CCPS
OTU.1889,0.034729244,30,13CCPS
OTU.1888,0.015978394,30,13CCPS
OTU.6217,,30,13CCPS
OTU.6216,,30,13CCPS
OTU.6215,,30,13CCPS
OTU.5611,,30,13CCPS
OTU.6213,,30,13CCPS
OTU.6212,,30,13CCPS
OTU.6211,,30,13CCPS
OTU.6210,,30,13CCPS
OTU.2644,,30,13CCPS
OTU.6219,,30,13CCPS
OTU.5617,,30,13CCPS
OTU.762,-0.012822016,30,13CCPS
OTU.763,-0.01610549,30,13CCPS
OTU.760,0.020598905,30,13CCPS
OTU.761,-0.013959373,30,13CCPS
OTU.2688,,30,13CCPS
OTU.2689,,30,13CCPS
OTU.764,0.005325363,30,13CCPS
OTU.765,-0.009799919,30,13CCPS
OTU.2684,,30,13CCPS
OTU.2685,,30,13CCPS
OTU.2686,,30,13CCPS
OTU.2687,,30,13CCPS
OTU.2680,0.044514634,30,13CCPS
OTU.2681,,30,13CCPS
OTU.2682,,30,13CCPS
OTU.2683,0.056662671,30,13CCPS
OTU.916,0.019162608,30,13CCPS
OTU.1089,0.007707312,30,13CCPS
OTU.1088,-0.030549696,30,13CCPS
OTU.1087,0.022721767,30,13CCPS
OTU.1086,-0.016602042,30,13CCPS
OTU.1085,-0.016460147,30,13CCPS
OTU.1084,-0.001468777,30,13CCPS
OTU.1083,0.007619683,30,13CCPS
OTU.1082,,30,13CCPS
OTU.1081,0.031346821,30,13CCPS
OTU.1080,0.008066546,30,13CCPS
OTU.3812,,30,13CCPS
OTU.3813,,30,13CCPS
OTU.3810,,30,13CCPS
OTU.3811,-0.004224583,30,13CCPS
OTU.3816,,30,13CCPS
OTU.3817,,30,13CCPS
OTU.3814,0.047894737,30,13CCPS
OTU.3815,,30,13CCPS
OTU.3818,0.060484211,30,13CCPS
OTU.3819,,30,13CCPS
OTU.6176,,30,13CCPS
OTU.6177,,30,13CCPS
OTU.6174,,30,13CCPS
OTU.6175,,30,13CCPS
OTU.6172,,30,13CCPS
OTU.6173,,30,13CCPS
OTU.6170,,30,13CCPS
OTU.6171,0.036627054,30,13CCPS
OTU.5748,,30,13CCPS
OTU.5749,,30,13CCPS
OTU.5740,,30,13CCPS
OTU.5741,,30,13CCPS
OTU.5742,,30,13CCPS
OTU.5743,,30,13CCPS
OTU.5744,,30,13CCPS
OTU.5745,,30,13CCPS
OTU.5746,,30,13CCPS
OTU.5747,,30,13CCPS
OTU.2453,,30,13CCPS
OTU.6179,,30,13CCPS
OTU.2452,,30,13CCPS
OTU.4259,,30,13CCPS
OTU.4258,,30,13CCPS
OTU.862,0.004273537,30,13CCPS
OTU.5339,,30,13CCPS
OTU.5338,0.00329782,30,13CCPS
OTU.4250,,30,13CCPS
OTU.5331,,30,13CCPS
OTU.5330,,30,13CCPS
OTU.5333,,30,13CCPS
OTU.5332,,30,13CCPS
OTU.5335,,30,13CCPS
OTU.4253,,30,13CCPS
OTU.5337,,30,13CCPS
OTU.5336,,30,13CCPS
OTU.1744,,30,13CCPS
OTU.4252,,30,13CCPS
OTU.1745,,30,13CCPS
OTU.4255,,30,13CCPS
OTU.1746,,30,13CCPS
OTU.4254,,30,13CCPS
OTU.1747,,30,13CCPS
OTU.4257,,30,13CCPS
OTU.1740,,30,13CCPS
OTU.4256,,30,13CCPS
OTU.1741,,30,13CCPS
OTU.5872,,30,13CCPS
OTU.1742,0.003331811,30,13CCPS
OTU.5873,,30,13CCPS
OTU.4991,0.010772553,30,13CCPS
OTU.5870,,30,13CCPS
OTU.5871,,30,13CCPS
OTU.5876,,30,13CCPS
OTU.5877,,30,13CCPS
OTU.5874,,30,13CCPS
OTU.5307,,30,13CCPS
OTU.2433,,30,13CCPS
OTU.2275,,30,13CCPS
OTU.2274,-0.005456076,30,13CCPS
OTU.5557,,30,13CCPS
OTU.2432,,30,13CCPS
OTU.5556,,30,13CCPS
