"sparsity_threshold","Day","Treatment","OTU","log2FoldChange","p","Rank1","Rank2","Rank3","Rank4","Rank5","Rank6","Rank7","Rank8","padj"
0.55,30,"13CCSS","OTU.408",0.312250365623836,0.848901878132014,"Bacteria","Planctomycetes","Planctomycetacia","Planctomycetales","Planctomycetaceae","Pirellula",NA,NA,1
0.55,30,"13CCSS","OTU.767",0.555406413621543,0.682182679466644,"Bacteria","Planctomycetes","Planctomycetacia","Planctomycetales","Planctomycetaceae","Pirellula","uncultured_bacterium",NA,1
0.55,30,"13CCSS","OTU.217",1.09612157345196,0.193815323048642,"Bacteria","Planctomycetes","Planctomycetacia","Planctomycetales","Planctomycetaceae","Pirellula","uncultured_bacterium",NA,1
0.55,30,"13CCSS","OTU.285",2.51722572144876,4.65532780316244e-05,"Bacteria","Planctomycetes","Planctomycetacia","Planctomycetales","Planctomycetaceae","Pir4_lineage","uncultured_planctomycete",NA,0.00196144478106577
0.55,30,"13CCSS","OTU.256",0.290934515928006,0.88453716805251,"Bacteria","Planctomycetes","Planctomycetacia","Planctomycetales","Planctomycetaceae","Pir4_lineage","uncultured_planctomycete",NA,1
0.55,30,"13CCSS","OTU.619",0.283979559762652,0.879531800826639,"Bacteria","Planctomycetes","Planctomycetacia","Planctomycetales","Planctomycetaceae","uncultured",NA,NA,1
0.55,30,"13CCSS","OTU.1068",0.446227324046985,0.771638526230089,"Bacteria","Planctomycetes","Planctomycetacia","Planctomycetales","Planctomycetaceae","uncultured","uncultured_bacterium",NA,1
0.55,30,"13CCSS","OTU.787",0.341774689413948,0.858493189655515,"Bacteria","Planctomycetes","OM190","uncultured_bacterium",NA,NA,NA,NA,1
0.55,30,"13CCSS","OTU.579",-0.234230996194592,0.994147214203144,"Bacteria","Planctomycetes","OM190","uncultured_bacterium",NA,NA,NA,NA,1
0.55,30,"13CCSS","OTU.915",0.994341410328228,0.255629351246943,"Bacteria","Planctomycetes","OM190","uncultured_bacterium",NA,NA,NA,NA,1
0.55,30,"13CCSS","OTU.1079",-0.407136531735548,0.997798726072457,"Bacteria","Planctomycetes","OM190","uncultured_bacterium",NA,NA,NA,NA,1
0.55,30,"13CCSS","OTU.721",-0.229771736854251,0.991130633849904,"Bacteria","Planctomycetes","Planctomycetacia","Planctomycetales","Planctomycetaceae","uncultured","uncultured_bacterium",NA,1
0.55,30,"13CCSS","OTU.780",0.94576637314769,0.315579421102624,"Bacteria","Planctomycetes","Planctomycetacia","Planctomycetales","Planctomycetaceae","Gemmata",NA,NA,1
0.55,30,"13CCSS","OTU.117",0.798525182621156,0.447651760584844,"Bacteria","Planctomycetes","Planctomycetacia","Planctomycetales","Planctomycetaceae","Gemmata","uncultured_bacterium",NA,1
0.55,30,"13CCSS","OTU.455",-1.08919309434097,0.99999762749847,"Bacteria","Planctomycetes","Planctomycetacia","Planctomycetales","Planctomycetaceae",NA,NA,NA,1
0.55,30,"13CCSS","OTU.547",-0.966687139320197,0.999992266335838,"Bacteria","Planctomycetes","Planctomycetacia","Planctomycetales","Planctomycetaceae","Singulisphaera","uncultured_bacterium",NA,1
0.55,30,"13CCSS","OTU.1586",-0.637311573827933,0.99973619189301,"Bacteria","Planctomycetes","Planctomycetacia","Planctomycetales","Planctomycetaceae","Singulisphaera","Nostocoida",NA,1
0.55,30,"13CCSS","OTU.611",-0.017063688218207,0.972152909962046,"Bacteria","Planctomycetes","Planctomycetacia","Planctomycetales","Planctomycetaceae","Planctomyces","uncultured_bacterium",NA,1
0.55,30,"13CCSS","OTU.906",0.379634624907184,0.815262150783083,"Bacteria","Planctomycetes","Planctomycetacia","Planctomycetales","Planctomycetaceae","Planctomyces","uncultured_bacterium",NA,1
0.55,30,"13CCSS","OTU.552",1.23807747035843,0.116852885090212,"Bacteria","Planctomycetes","Planctomycetacia","Planctomycetales","Planctomycetaceae","Planctomyces","uncultured_planctomycete",NA,1
0.55,30,"13CCSS","OTU.150",1.03717203300079,0.242860485263729,"Bacteria","Planctomycetes","Planctomycetacia","Planctomycetales","Planctomycetaceae","Planctomyces","uncultured_bacterium",NA,1
0.55,30,"13CCSS","OTU.204",1.92070612661351,0.00476478853274611,"Bacteria","Planctomycetes","Planctomycetacia","Planctomycetales","Planctomycetaceae","Planctomyces","Planctomyces_sp._Io1-3",NA,0.100378211756518
0.55,30,"13CCSS","OTU.1100",-0.379928166061038,0.996753115257176,"Bacteria","Planctomycetes","Phycisphaerae","WD2101_soil_group","uncultured_bacterium",NA,NA,NA,1
0.55,30,"13CCSS","OTU.467",-0.657713841878435,0.999601295195918,"Bacteria","Planctomycetes","Phycisphaerae","WD2101_soil_group","uncultured_bacterium",NA,NA,NA,1
0.55,30,"13CCSS","OTU.522",-0.695518917275961,0.99985788469835,"Bacteria","Planctomycetes","Phycisphaerae","WD2101_soil_group","uncultured_bacterium",NA,NA,NA,1
0.55,30,"13CCSS","OTU.2262",1.59978103809184,0.0247696994367357,"Bacteria","Planctomycetes","Phycisphaerae","WD2101_soil_group","uncultured_bacterium",NA,NA,NA,0.340314131391673
0.55,30,"13CCSS","OTU.354",-0.898075012642977,0.999984923249905,"Bacteria","Planctomycetes","Phycisphaerae","WD2101_soil_group","uncultured_bacterium",NA,NA,NA,1
0.55,30,"13CCSS","OTU.466",-0.347149605538767,0.996415069769541,"Bacteria","Planctomycetes","Phycisphaerae","WD2101_soil_group","uncultured_bacterium",NA,NA,NA,1
0.55,30,"13CCSS","OTU.1477",0.722009373890264,0.526073089868398,"Bacteria","Planctomycetes","Phycisphaerae","mle1-8","uncultured_bacterium",NA,NA,NA,1
0.55,30,"13CCSS","OTU.932",0.0404597379824014,0.967507720953882,"Bacteria","Planctomycetes","Pla4_lineage","uncultured_bacterium",NA,NA,NA,NA,1
0.55,30,"13CCSS","OTU.1006",0.0459100450313923,0.969467053278082,"Bacteria","Planctomycetes","Pla4_lineage","uncultured_bacterium",NA,NA,NA,NA,1
0.55,30,"13CCSS","OTU.47",-1.19415227689449,0.999999999746592,"Bacteria","Nitrospirae","Nitrospira","Nitrospirales","Nitrospiraceae","Nitrospira","uncultured_bacterium",NA,1
0.55,30,"13CCSS","OTU.173",-0.748457211979572,0.999951577329959,"Bacteria","Nitrospirae","Nitrospira","Nitrospirales","Nitrospiraceae","Nitrospira","uncultured_bacterium",NA,1
0.55,30,"13CCSS","OTU.124",-0.192203082220755,0.998945162470495,"Bacteria","Acidobacteria","DA023","uncultured_Acidobacteria_bacterium",NA,NA,NA,NA,1
0.55,30,"13CCSS","OTU.111",0.138465439407337,0.971061591286293,"Bacteria","Acidobacteria","DA023","uncultured_bacterium",NA,NA,NA,NA,1
