"log2FoldChange","p","Day","OTU","Rank1","Rank2","Rank3","Rank4","Rank5","Rank6","Rank7","p.adj"
0.204138132494176,0.882059295983428,7,"OTU.98","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Incertae_sedis","f__Incertae_sedis","g__Geomyces",NA,1
-2.86045189923481,0.999999998787047,7,"OTU.288","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__unidentified","f__unidentified","g__unidentified",NA,1
-2.96951513920573,0.999999999999998,7,"OTU.264",NA,NA,NA,NA,NA,NA,NA,1
-0.629865975974478,0.993422765648524,7,"OTU.222","k__Fungi","p__unidentified","c__unidentified","o__unidentified","f__unidentified","g__unidentified","s__unculturedfungus",1
-1.2379372958417,0.999999870297403,7,"OTU.190","k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA,1
-0.101433156140747,0.968886761403664,7,"OTU.429","k__Fungi","p__unidentified","c__unidentified","o__unidentified","f__unidentified","g__unidentified",NA,1
-0.177396084562426,0.991507866619953,7,"OTU.155","k__Fungi",NA,NA,NA,NA,NA,NA,1
0.426623042542534,0.754420681632569,7,"OTU.1484","k__Fungi","p__unidentified","c__unidentified","o__unidentified","f__unidentified","g__unidentified","s__unculturedfungus",1
0.18215827014853,0.900907968949271,7,"OTU.142","k__Fungi","p__unidentified","c__unidentified","o__unidentified","f__unidentified","g__unidentified","s__unculturedsoil_fungus",1
1.51796801113251,0.063581158754798,7,"OTU.50","k__Fungi","p__unidentified","c__unidentified","o__unidentified","f__unidentified","g__unidentified",NA,0.436104210213238
-4.67178110836065,1,7,"OTU.309",NA,NA,NA,NA,NA,NA,NA,1
-0.777361918188484,0.998841519127341,7,"OTU.85","k__Fungi",NA,NA,NA,NA,NA,NA,1
2.72380976834865,7.7850908598991e-05,7,"OTU.15780","k__Fungi",NA,NA,NA,NA,NA,NA,0.00121540373723201
-0.788140102148961,0.999933699903189,7,"OTU.10849","k__Fungi","p__unidentified","c__unidentified","o__unidentified","f__unidentified","g__unidentified","s__unculturedfungus",1
-1.02363681862927,0.99993469333626,7,"OTU.219","k__Fungi","p__unidentified","c__unidentified","o__unidentified","f__unidentified","g__unidentified","s__unculturedsoil_fungus",1
0.701526143824005,0.552061347865739,7,"OTU.46","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Clavicipitaceae","g__Pochonia","s__Pochonia_chlamydosporia",1
-0.209382572666683,0.969743710645113,7,"OTU.1133","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Onygenales",NA,NA,NA,1
-0.637190246338423,0.993717487520022,7,"OTU.1239","k__Fungi","p__Ascomycota","c__unidentified","o__unidentified","f__unidentified","g__unidentified","s__unculturedAscomycota",1
0.795869939610921,0.455583867429998,7,"OTU.53","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Incertae_sedis","g__Acremonium",NA,1
-1.4130331416823,0.999999998201681,7,"OTU.181","k__Fungi","p__Zygomycota","c__Incertae_sedis","o__Mucorales","f__Mucoraceae","g__Rhizopus","s__Rhizopus_oryzae",1
0.00106565092350069,0.906507707290707,7,"OTU.173","k__Fungi",NA,NA,NA,NA,NA,NA,1
-0.00607816100655937,0.911767372209189,7,"OTU.825",NA,NA,NA,NA,NA,NA,NA,1
-0.662474080439869,0.997228650165644,7,"OTU.343","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales",NA,NA,NA,1
-2.019707472668,0.999999999592465,7,"OTU.81","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Chaetosphaeriales","f__Chaetosphaeriaceae","g__Chaetosphaeria",NA,1
-0.811334835499167,0.999999292037295,7,"OTU.35","k__Fungi","p__unidentified","c__unidentified","o__unidentified","f__unidentified","g__unidentified",NA,1
-1.08292975930333,0.999999528716743,7,"OTU.125","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Cystofilobasidiales",NA,NA,NA,1
3.67604997806763,1.52649276429057e-08,7,"OTU.494","k__Fungi","p__unidentified","c__unidentified","o__unidentified","f__unidentified","g__unidentified",NA,4.7663027804416e-07
0.322302100113842,0.799248384702442,7,"OTU.128","k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA,1
0.633132040317695,0.589103516832177,7,"OTU.525","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Sordariales","f__Lasiosphaeriaceae",NA,NA,1
-0.818651362415312,0.999792401824395,7,"OTU.21078","k__Fungi","p__Ascomycota","c__unidentified","o__unidentified","f__unidentified","g__unidentified","s__unculturedTetracladium",1
0.16321512414125,0.922531445982008,7,"OTU.237","k__Fungi","p__unidentified","c__unidentified","o__unidentified","f__unidentified","g__unidentified","s__unculturedfungus",1
3.85364809223814,2.77118545420281e-08,7,"OTU.606","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Sordariales","f__Chaetomiaceae",NA,NA,7.94153420574286e-07
0.781402771744856,0.460748018930642,7,"OTU.145","k__Fungi","p__unidentified","c__unidentified","o__unidentified","f__unidentified","g__unidentified",NA,1
-0.229018266335654,0.98614008997905,7,"OTU.250","k__Fungi","p__unidentified","c__unidentified","o__unidentified","f__unidentified","g__unidentified",NA,1
1.65325035830802,0.0286713801283133,7,"OTU.636","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Sordariales","f__Lasiosphaeriaceae",NA,NA,0.229810449151078
-0.817638855773013,0.999936612135359,7,"OTU.172","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Eurotiales","f__Trichocomaceae","g__Penicillium",NA,1
0.00483690395421411,0.933529062793288,7,"OTU.283","k__Fungi","p__unidentified","c__unidentified","o__unidentified","f__unidentified","g__unidentified",NA,1
0.103336320256088,0.904867334888107,7,"OTU.277","k__Fungi",NA,NA,NA,NA,NA,NA,1
0.0913984383332703,0.918612616572843,7,"OTU.7042","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Sordariales","f__Chaetomiaceae","g__Humicola",NA,1
1.65419567019993,0.0690537193787621,7,"OTU.208",NA,NA,NA,NA,NA,NA,NA,0.471603755128667
-0.694083529122159,0.99549338591781,7,"OTU.1254","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Incertae_sedis","f__Myxotrichaceae","g__Malbranchea","s__Malbranchea_flava",1
-0.428333584197481,0.99047510648054,7,"OTU.493","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales",NA,NA,NA,1
0.746823889286929,0.50230361737227,7,"OTU.1922",NA,NA,NA,NA,NA,NA,NA,1
-0.676966016725233,0.998580642020284,7,"OTU.104","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Incertae_sedis","f__Incertae_sedis","g__Eucasphaeria","s__Eucasphaeria_capensis",1
-0.18207497154663,0.980367886507982,7,"OTU.256","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Eurotiales","f__Trichocomaceae","g__Penicillium",NA,1
-0.0194878995864572,0.988487050680264,7,"OTU.147","k__Fungi","p__unidentified","c__unidentified","o__unidentified","f__unidentified","g__unidentified",NA,1
-2.306748727404,0.999999984199405,7,"OTU.307","k__Fungi","p__unidentified","c__unidentified","o__unidentified","f__unidentified","g__unidentified",NA,1
-0.732774710814194,0.999737349733864,7,"OTU.97","k__Fungi","p__unidentified","c__unidentified","o__unidentified","f__unidentified","g__unidentified",NA,1
0.451480230492964,0.784702297293141,7,"OTU.117","k__Fungi","p__unidentified","c__unidentified","o__unidentified","f__unidentified","g__unidentified","s__unculturedfungus",1
-0.485164458061698,0.991928913340106,7,"OTU.360","k__Fungi","p__Basidiomycota",NA,NA,NA,NA,NA,1
-0.553643756483001,0.999291282987354,7,"OTU.137","k__Fungi","p__unidentified","c__unidentified","o__unidentified","f__unidentified","g__unidentified",NA,1
-0.563437655591091,0.996628028731151,7,"OTU.332","k__Fungi","p__unidentified","c__unidentified","o__unidentified","f__unidentified","g__unidentified","s__unculturedfungus",1
1.63776208731845,0.0601226167730932,7,"OTU.260","k__Fungi","p__unidentified","c__unidentified","o__unidentified","f__unidentified","g__unidentified","s__unculturedfungus",0.422322556077798
-1.55585218221857,0.999999421061207,7,"OTU.399","k__Fungi","p__Ascomycota","c__unidentified","o__unidentified","f__unidentified","g__unidentified","s__unculturedAscomycota",1
-0.798131846207641,0.999903545134297,7,"OTU.303","k__Fungi","p__Zygomycota","c__Incertae_sedis","o__Mucorales","f__Mucoraceae",NA,NA,1
