sparsity_threshold,Day,Treatment,OTU,log2FoldChange,p,Rank1,Rank2,Rank3,Rank4,Rank5,Rank6,Rank7,Rank8,padj
0.55,30,SS,OTU.1281,-0.233316121,0.991412507,Bacteria,Planctomycetes,OM190,uncultured_bacterium,NA,NA,NA,NA,1
0.55,30,SS,OTU.695,1.206184545,0.13643129,Bacteria,Planctomycetes,Planctomycetacia,Planctomycetales,Planctomycetaceae,Pirellula,uncultured_bacterium,NA,1
0.55,30,SS,OTU.408,0.312250366,0.848901878,Bacteria,Planctomycetes,Planctomycetacia,Planctomycetales,Planctomycetaceae,Pirellula,NA,NA,1
0.55,30,SS,OTU.767,0.555406414,0.682182679,Bacteria,Planctomycetes,Planctomycetacia,Planctomycetales,Planctomycetaceae,Pirellula,uncultured_bacterium,NA,1
0.55,30,SS,OTU.217,1.096121573,0.193815323,Bacteria,Planctomycetes,Planctomycetacia,Planctomycetales,Planctomycetaceae,Pirellula,uncultured_bacterium,NA,1
0.55,30,SS,OTU.285,2.517225721,4.66E-05,Bacteria,Planctomycetes,Planctomycetacia,Planctomycetales,Planctomycetaceae,Pir4_lineage,uncultured_planctomycete,NA,0.001961445
0.55,30,SS,OTU.256,0.290934516,0.884537168,Bacteria,Planctomycetes,Planctomycetacia,Planctomycetales,Planctomycetaceae,Pir4_lineage,uncultured_planctomycete,NA,1
0.55,30,SS,OTU.619,0.28397956,0.879531801,Bacteria,Planctomycetes,Planctomycetacia,Planctomycetales,Planctomycetaceae,uncultured,NA,NA,1
0.55,30,SS,OTU.1068,0.446227324,0.771638526,Bacteria,Planctomycetes,Planctomycetacia,Planctomycetales,Planctomycetaceae,uncultured,uncultured_bacterium,NA,1
0.55,30,SS,OTU.787,0.341774689,0.85849319,Bacteria,Planctomycetes,OM190,uncultured_bacterium,NA,NA,NA,NA,1
0.55,30,SS,OTU.579,-0.234230996,0.994147214,Bacteria,Planctomycetes,OM190,uncultured_bacterium,NA,NA,NA,NA,1
0.55,30,SS,OTU.915,0.99434141,0.255629351,Bacteria,Planctomycetes,OM190,uncultured_bacterium,NA,NA,NA,NA,1
0.55,30,SS,OTU.1079,-0.407136532,0.997798726,Bacteria,Planctomycetes,OM190,uncultured_bacterium,NA,NA,NA,NA,1
0.55,30,SS,OTU.721,-0.229771737,0.991130634,Bacteria,Planctomycetes,Planctomycetacia,Planctomycetales,Planctomycetaceae,uncultured,uncultured_bacterium,NA,1
0.55,30,SS,OTU.780,0.945766373,0.315579421,Bacteria,Planctomycetes,Planctomycetacia,Planctomycetales,Planctomycetaceae,Gemmata,NA,NA,1
0.55,30,SS,OTU.117,0.798525183,0.447651761,Bacteria,Planctomycetes,Planctomycetacia,Planctomycetales,Planctomycetaceae,Gemmata,uncultured_bacterium,NA,1
0.55,30,SS,OTU.455,-1.089193094,0.999997627,Bacteria,Planctomycetes,Planctomycetacia,Planctomycetales,Planctomycetaceae,NA,NA,NA,1
0.55,30,SS,OTU.547,-0.966687139,0.999992266,Bacteria,Planctomycetes,Planctomycetacia,Planctomycetales,Planctomycetaceae,Singulisphaera,uncultured_bacterium,NA,1
0.55,30,SS,OTU.1586,-0.637311574,0.999736192,Bacteria,Planctomycetes,Planctomycetacia,Planctomycetales,Planctomycetaceae,Singulisphaera,Nostocoida,NA,1
0.55,30,SS,OTU.611,-0.017063688,0.97215291,Bacteria,Planctomycetes,Planctomycetacia,Planctomycetales,Planctomycetaceae,Planctomyces,uncultured_bacterium,NA,1
0.55,30,SS,OTU.906,0.379634625,0.815262151,Bacteria,Planctomycetes,Planctomycetacia,Planctomycetales,Planctomycetaceae,Planctomyces,uncultured_bacterium,NA,1
0.55,30,SS,OTU.552,1.23807747,0.116852885,Bacteria,Planctomycetes,Planctomycetacia,Planctomycetales,Planctomycetaceae,Planctomyces,uncultured_planctomycete,NA,1
0.55,30,SS,OTU.150,1.037172033,0.242860485,Bacteria,Planctomycetes,Planctomycetacia,Planctomycetales,Planctomycetaceae,Planctomyces,uncultured_bacterium,NA,1
0.55,30,SS,OTU.204,1.920706127,0.004764789,Bacteria,Planctomycetes,Planctomycetacia,Planctomycetales,Planctomycetaceae,Planctomyces,Planctomyces_sp._Io1-3,NA,0.100378212
0.55,30,SS,OTU.1100,-0.379928166,0.996753115,Bacteria,Planctomycetes,Phycisphaerae,WD2101_soil_group,uncultured_bacterium,NA,NA,NA,1
0.55,30,SS,OTU.467,-0.657713842,0.999601295,Bacteria,Planctomycetes,Phycisphaerae,WD2101_soil_group,uncultured_bacterium,NA,NA,NA,1
0.55,30,SS,OTU.522,-0.695518917,0.999857885,Bacteria,Planctomycetes,Phycisphaerae,WD2101_soil_group,uncultured_bacterium,NA,NA,NA,1
