usearch v7.0.1090_i86linux32, 4.0Gb RAM (132Gb total), 40 cores
usearch -fastq_stats data/ABCD_combined_reads.fastq -log data/fastq_stats.log 
Started Thu Jan 16 08:25:28 2014

Read length distribution
      L           N      Pct   AccPct
     99           6     0.0%    99.9%
     98           8     0.0%    99.9%
     97           6     0.0%    99.9%
     96           8     0.0%    99.9%
     95          12     0.0%    99.9%
     94          11     0.0%    99.9%
     93          18     0.0%    99.9%
     92           9     0.0%    99.9%
     91          19     0.0%    99.9%
     90           9     0.0%    99.9%
     89          16     0.0%    99.9%
     88          18     0.0%    99.9%
     87          30     0.0%    99.9%
     86          56     0.0%    99.9%
     85          84     0.0%    99.9%
     84         454     0.0%    99.9%
     83         110     0.0%    99.9%
     82          53     0.0%    99.9%
     81          28     0.0%    99.9%
     80          20     0.0%    99.9%
     79           9     0.0%    99.9%
     78          11     0.0%    99.9%
     77          26     0.0%    99.9%
     76           5     0.0%    99.9%
     75          12     0.0%    99.9%
     74           4     0.0%    99.9%
     73           9     0.0%    99.9%
     72           6     0.0%    99.9%
     71          11     0.0%    99.9%
     70           6     0.0%    99.9%
     69           9     0.0%    99.9%
     68          16     0.0%    99.9%
     67          14     0.0%    99.9%
     66          10     0.0%    99.9%
     65           9     0.0%    99.9%
     64          12     0.0%    99.9%
     63          13     0.0%    99.9%
     62          15     0.0%    99.9%
     61          14     0.0%    99.9%
     60          16     0.0%   100.0%
     59          24     0.0%   100.0%
     58          10     0.0%   100.0%
     57           9     0.0%   100.0%
     56          15     0.0%   100.0%
     55          15     0.0%   100.0%
     54           5     0.0%   100.0%
     53           6     0.0%   100.0%
     52           6     0.0%   100.0%
     51           7     0.0%   100.0%
     50          24     0.0%   100.0%
     49          30     0.0%   100.0%
     48           7     0.0%   100.0%
     47          19     0.0%   100.0%
     46           7     0.0%   100.0%
     45           1     0.0%   100.0%
     44           7     0.0%   100.0%
     43          14     0.0%   100.0%
     42          74     0.0%   100.0%
     41          59     0.0%   100.0%
     40          44     0.0%   100.0%
     39          14     0.0%   100.0%
     38          13     0.0%   100.0%
     37          17     0.0%   100.0%
     36          76     0.0%   100.0%
     35          42     0.0%   100.0%
     34          23     0.0%   100.0%
     33          12     0.0%   100.0%
     32          15     0.0%   100.0%
     31          14     0.0%   100.0%
     30           8     0.0%   100.0%
     29           9     0.0%   100.0%
     28          17     0.0%   100.0%
     27           9     0.0%   100.0%
     26           1     0.0%   100.0%
     25           3     0.0%   100.0%
     24           3     0.0%   100.0%
     23           2     0.0%   100.0%
     22           1     0.0%   100.0%
     21          16     0.0%   100.0%
     20          21     0.0%   100.0%
     19          13     0.0%   100.0%
     18          11     0.0%   100.0%
     17          11     0.0%   100.0%
     16          17     0.0%   100.0%
     15          11     0.0%   100.0%
     14           3     0.0%   100.0%
     13           7     0.0%   100.0%
     12          12     0.0%   100.0%
     11           6     0.0%   100.0%
     10           5     0.0%   100.0%
      9           2     0.0%   100.0%
      8           2     0.0%   100.0%
      7           1     0.0%   100.0%
      6           3     0.0%   100.0%
      5           1     0.0%   100.0%
      4           1     0.0%   100.0%
      3           2     0.0%   100.0%
      2          10     0.0%   100.0%
      1           4     0.0%   100.0%
      0          25     0.0%   100.0%

Q score distribution
ASCII    Q       Pe           N      Pct   AccPct
-----  ---  -------  ----------  -------  -------
    I   40  0.00010   369865251    64.1%    64.1%
    H   39  0.00013    62675965    10.9%    74.9%
    G   38  0.00016     9188014     1.6%    76.5%
    F   37  0.00020     5886201     1.0%    77.5%
    E   36  0.00025     7347514     1.3%    78.8%
    D   35  0.00032     7963192     1.4%    80.2%
    C   34  0.00040    17754380     3.1%    83.3%
    B   33  0.00050     5915959     1.0%    84.3%
    A   32  0.00063     4742540     0.8%    85.1%
    @   31  0.00079     3981695     0.7%    85.8%
    ?   30  0.00100    12151722     2.1%    87.9%
    >   29  0.00126     3167266     0.5%    88.5%
    =   28  0.00158     4879163     0.8%    89.3%
    <   27  0.00200     3393619     0.6%    89.9%
    ;   26  0.00251     7388890     1.3%    91.2%
    :   25  0.00316     2735398     0.5%    91.6%
    9   24  0.00398     3435983     0.6%    92.2%
    8   23  0.00501     2927829     0.5%    92.7%
    7   22  0.00631     2924017     0.5%    93.3%
    6   21  0.00794     4255852     0.7%    94.0%
    5   20  0.01000     3485170     0.6%    94.6%
    4   19  0.01259     3489059     0.6%    95.2%
    3   18  0.01585     2844225     0.5%    95.7%
    2   17  0.01995     2850043     0.5%    96.2%
    1   16  0.02512     3398223     0.6%    96.8%
    0   15  0.03162     1354788     0.2%    97.0%
    /   14  0.03981     1863106     0.3%    97.3%
    .   13  0.05012     2242334     0.4%    97.7%
    -   12  0.06310     4341644     0.8%    98.5%
    ,   11  0.07943     3968498     0.7%    99.2%
    +   10  0.10000       44486     0.0%    99.2%
    *    9  0.12589       26493     0.0%    99.2%
    )    8  0.15849       22855     0.0%    99.2%
    (    7  0.19953        2429     0.0%    99.2%
    !    0  1.00000     4774118     0.8%   100.0%

    L  PctRecs  AvgQ  P(AvgQ)      AvgP  AvgEE       Rate   RatePct
-----  -------  ----  -------  --------  -----  ---------  --------
    2   100.0%  39.8   0.0001  0.000111   0.00   0.000110    0.011%
    3   100.0%  39.5  0.00013  0.000203   0.00   0.000141    0.014%
    4   100.0%  39.4  0.00013  0.000224   0.00   0.000162    0.016%
    5   100.0%  39.3  0.00013  0.000261   0.00   0.000182    0.018%
    6   100.0%  39.3  0.00013  0.000269   0.00   0.000196    0.020%
    7   100.0%  39.3  0.00013  0.000281   0.00   0.000209    0.021%
    8   100.0%  39.3  0.00013  0.000313   0.00   0.000222    0.022%
    9   100.0%  39.1  0.00013  0.000363   0.00   0.000237    0.024%
   10   100.0%  39.2  0.00013  0.000376   0.00   0.000251    0.025%
   11   100.0%  39.2  0.00013  0.000389   0.00   0.000264    0.026%
   12   100.0%  39.4  0.00013  0.000339   0.00   0.000270    0.027%
   13   100.0%  39.3  0.00013  0.000422   0.00   0.000282    0.028%
